2026/06/10 16:38:47.352, 45, 10.68, 0, 0, [N/A], [N/A]
2026/06/10 16:38:48.376, 45, 10.65, 0, 0, [N/A], [N/A]
2026/06/10 16:38:49.401, 45, 10.67, 0, 0, [N/A], [N/A]
2026/06/10 16:38:50.426, 45, 10.63, 0, 0, [N/A], [N/A]
2026/06/10 16:38:51.451, 45, 10.64, 0, 0, [N/A], [N/A]
2026/06/10 16:38:52.475, 45, 10.67, 0, 0, [N/A], [N/A]
2026/06/10 16:38:53.501, 45, 10.65, 0, 0, [N/A], [N/A]
2026/06/10 16:38:54.526, 45, 10.62, 0, 0, [N/A], [N/A]
2026/06/10 16:38:55.551, 45, 10.66, 0, 0, [N/A], [N/A]
2026/06/10 16:38:56.576, 45, 10.64, 0, 0, [N/A], [N/A]
2026/06/10 16:38:57.600, 45, 10.60, 0, 0, [N/A], [N/A]
